marca;preço
Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Windows 11, Cinza - 82MD0008BR;R$ 3.799,99
Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GTX 1650 4GB, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Preto - 82MJS00400;R$ 4.399,99
Notebook Lenovo Ideapad 330-15ikb, Intel Core I3-7020u, 4GB RAM, 1TB, Tela 15.6Polegadas, Windows 10;R$ 1.649,00
"Notebook Lenovo Ultrafino Ideapad 3 R5-5500u, 8GB, 256GB SSD, Linux 15.6"", Cinza - 82mfs00100";R$ 2.914,11
Notebook Legacy Cloud Win10 Home Intel Quad 4GB 64GB 14,1 Pol. HD Cinza + Microsoft 365 Personal Com 1TB Na Nuvem - Pc137;R$ 949,50
Notebook Acer Aspire 3 Intel Celeron N4020 Dual Core, 4GB RAM, SSD 128GB, 15.6 HD, Windows 11, Microsoft Office, Preto - A315-34-C2BV;R$ 1.949,99
Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, SSD 512GB, 15.6 Full HD, Iris Xe Graphics, Windows 11 Home, Cinza - 82MD000RBR;R$ 3.499,99
Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Linux, Cinza - M515DA-BR1213;R$ 2.449,99
Notebook Lenovo Ultrafino IdeaPad 3i-15IGL Intel Celeron N4020, 4GB RAM, 128GB SSD, Linux, Prata - 82BUS00100;R$ 1.699,99
Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD M.2 NVMe, 15.6 IPS FHD, Windows 10 Home, Cinza Escuro - 15Z90N-V.BJ51P2;R$ 4.499,99
Notebook Gamer 2am E550 Nvidia Geforce Gtx 1050 3gb - Windows 10 Home Core I5-9400 8gb | 1tb + Ssd 128gb Fullhd 15.6.;R$ 3.509,10
Notebook LG Gram Intel Core i7-1165G7, 16GB RAM, 512GB SSD M.2 NVMe, 17' IPS, Iris Xe Graphics, Windows 10 Home, Preto - 17Z90P-G.BH71P2;R$ 7.999,99
Notebook Samsung Book Intel Core i3 4GB;R$ 2.469,05
Notebook Compaq Presario 436 14,1´´ Intel Core I3 6157u Windows 10 Home 8gb Ram 240gb Ssd Cinza;R$ 1.869,15
Bateria Selada para Nobreak, Sec Power, 12v/9ah (8,5ah) - Sp12-9e;R$ 98,97
Notebook Gamer ASUS Vivobook Pro 15 AMD Ryzen 7-6800H, 16GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD 144Hz, Windows 11, Azul - M6500RC-HN088W;R$ 7.149,99
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Preto - AN515-44-R11B;R$ 4.999,99
Notebook Asus Intel Core I3 4gb Ssd 256gb Tela 15.6 Endless OS - X515ja;R$ 1.906,41
Notebook Acer Aspire Vero, I5-1135g7, W11, 8GB, SSD M.2 Nvme 256GB, Tela 15.6 Polegadas, FHD - Av15-51-53ap;R$ 3.149,10
"Macbook Air M1, 8GB, 256GB SSD, Tela 13.3"", Silver, 2020 - MGN93LL/A";R$ 7.149,99
Notebook Acer Aspire 3, Intel Core I5 11ª Gen, 8GB, SSD 256GB, Tela 15.6 FHD, Intel Iris Xe, Windows 11 Home, Prata - A315-58-573p;R$ 3.353,92
Fonte Carregador Fy Para Notebook Lenovo Ideapad 330 330s 65w;R$ 119,09
Notebook Lenovo Ideapad 3I, I3-1115G4, 4GB RAM, SSD 128GB, 15.6 Full HD, Linux - 82MDS00600;R$ 2.023,08
Notebook Gamer Lenovo Ideapad Gaming 3I, I5-11300H, 8GB RAM, GTX 1650 4GB, SSD 512GB, Tela 15 Full HD, Windows 11 - 3I 82MG0009BR;R$ 4.665,56
Notebook Lenovo Ideapad Gaming 3i I7-11370h, 16GB RAM, SSD 512GB, GTX 1650 4GB, 15.6 Polegadas, FHD, W11- 82mg0000br;R$ 5.611,08
Mac Mini Apple Intel Core i5, 8GB RAM, 512GB SSD, Wi-Fi e Bluetooth 5.0, Bivolt, Cinza-espacial;R$ 5.579,07
Notebook Asus Intel Core i5-1035G1, 8GB RAM, SSD 256GB, 15.6 Full HD, Endless SO, Cinza - X515JA-EJ1792;R$ 3.399,99
Notebook Gamer Acer Nitro 5 Intel Core I5, 8GB, GTX 1650, SSD 512GB, Tela 15.6 FHD, Windows 11 - An515-57-52lc;R$ 4.649,07
Capa Para Notebook  Com Ziper 15.6'' Em Neoprene - Preto;R$ 49,40
Notebook Samsung Book Intel Core, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Cinza Chumbo - I7-1165g7;R$ 3.689,10
Notebook Gamer Acer Nitro 5 An515-44-r11b, AMD Ryzen 7-4800h, RAM 8GB, GTX 1650, SSD 512GB, Tela 15.6 Polegadas, Linux, Preto - Recertificado - Prata;R$ 4.199,00
"Macbook Air M1 8GB, 256GB SSD, Tela 13.3"", Space Gray, 2020 - Mgn63ll/a";R$ 6.792,49
Notebook Acer Intel Core i5, 8GB, 512GB SSD, Tela 15.6 Full HD, Intel Iris Xe, Windows 11, Aspire 3, Prata;R$ 3.207,57
Notebook Acer Aspire 3, Intel Core I3 11ª Geração 4.10GHz, 8GB DDR4, SSD 512GB NVMe, Tela 15.6 Full HD, Gráficos Iris Xe, Windows 11 - A315-58-372M;R$ 2.935,50
"Chromebook Samsung Intel Celeron N4020, 4GB RAM, 32GB e.MMC, 11,6"" HD Antirreflexo, Intel UHD, Google Chrome - XE310XBA-KT3BR";R$ 1.629,99
Notebook Gamer Acer Nitro 5 An517-54-59kr Intel Core I5 Linux Gutta 8GB 512GB SSD Gtx 1650 17.Polegadas FHD;R$ 4.369,05
Notebook Dell Inspiron 15 3000 Intel Core i5;R$ 3.329,10
"Notebook Gamer Acer Nitro 5 Intel Core I5 8GB Gtx 1650, 512gb Ssd 17.3"" W11 Home Preto - An517-54-55t5";R$ 4.844,05
Notebook Hp 256 G8 I3-1115g4, 8GB RAM, 256GB, 15.6 Polegadas, Win 11, Home Sl;R$ 2.603,07
Notebook Compaq Presario 454 Intel Core I5, 8GB RAM, 240GB SSD, Tela 14 LED HD, Widescreen, Linux, Cinza;R$ 2.060,10
"Notebook Asus Intel Core I3, 4GB, 256GB SSD, Tela 15.6"", Windons 11 - X515ja-br2750w";R$ 2.417,07
Notebook Acer Predator Triton Pt316-51s-78v9 I7 12ª Windows 11 Home, RTX 3060 16GB 1TB SSD 16”, Wqxga;R$ 9.499,05
Notebook Gamer Acer Nitro 5 Intel Core i5-10300H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS, Win11 - AN515-55-59T4;R$ 4.999,99
Notebook Samsung Book, Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Intel Iris Xe, Windows 11 Home, Cinza - NP550XDA-KU1BR;R$ 5.399,99
Notebook Acer Aspire 5 A514-54-324N Intel Core I3  11ª Gen Linux Gutta 4GB 256GB SDD 14 Polegadas Full HD;R$ 2.374,05
Notebook Vaio Fe15 FHD I5-10210u, 8GB RAM, SSD 512GB, 15.6 LED Full HD, Win 11 Home, Chumbo Escuro - Vjfe52f11x-b2291h;R$ 3.207,57
Notebook Gamer Acer Nitro 5 An515-44-r11b, AMD Ryzen 7-4800h, 8GB RAM, GTX 1650, SSD 512GB, Tela 15.6 Polegadas, Linux, Preto - Recertificado - Ouro;R$ 4.399,00
Notebook Dell Inspiron 15 Intel Core i5 16GB;R$ 4.091,07
Notebook Samsung Book 15.6 FHD Intel Celeron 6305, 256GB RAM, SSD 4GB, Windows 11 Home, Cinza Chumbo - Np550xda-kp3br;R$ 1.905,57
Notebook Vaio FE14 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 14 Full HD, Windows 11, Cinza Grafite - VJFE44F11X-B0111H;R$ 3.299,99
Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Windows 11 Home, Cinza - X515JA-BR2750W;R$ 2.389,99
Notebook Lenovo Ideapad 3i I7-1165g7 16GB, 512GB SSD, 15.6 Polegadas Full HD, Placa De Vídeo Intel Iris® Xe, Windows 11;R$ 4.229,10
